Results generated by BModes (v3.00.00, 20-Mar-2008, compiled using double precision) on 18-Nov-2022 at 16:43:05.
BModes analysis to support NuMAD to FAST Blade using PreComp                                       
=================================================================================

            rotating blade frequencies & mode shapes
            --- only first  10 modes printed


 -------- Mode No.   1  (freq = 0.57001E+00 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist
 0.9936	 0.000075	-0.004545	 0.021770	 0.182543	 0.140432
 0.9979	 0.000056	-0.004554	 0.022531	 0.182584	 0.140464
 1.0000	 0.000046	-0.004555	 0.022912	 0.182589	 0.140470


 -------- Mode No.   8  (freq = 0.59056E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0200	-0.000010	-0.000967	 0.000000	 0.000040	 0.000083
 0.0400	-0.000038	-0.001917	 0.000002	 0.000081	 0.000176
 0.0600	-0.000085	-0.002877	 0.000004	 0.000117	 0.000287
 0.0800	-0.000151	-0.003901	 0.000006	 0.000140	 0.000430
 0.1000	-0.000239	-0.005020	 0.000009	 0.000145	 0.000632
 0.1250	-0.000381	-0.006536	 0.000012	 0.000130	 0.001042
 0.1500	-0.000558	-0.007961	 0.000015	 0.000127	 0.001790
 0.1691	-0.000715	-0.008774	 0.000018	 0.000143	 0.002744
 0.1880	-0.000882	-0.009242	 0.000021	 0.000171	 0.004202
 0.2071	-0.001055	-0.009307	 0.000024	 0.000200	 0.006541
 0.2261	-0.001225	-0.008919	 0.000028	 0.000219	 0.010094
 0.2451	-0.001383	-0.008056	 0.000032	 0.000231	 0.014404
 0.2661	-0.001532	-0.006529	 0.000037	 0.000244	 0.020090
 0.2870	-0.001645	-0.004407	 0.000042	 0.000252	 0.027181
 0.3080	-0.001709	-0.001820	 0.000047	 0.000256	 0.033719
 0.3288	-0.001716	 0.001153	 0.000053	 0.000257	 0.039285
 0.3509	-0.001653	 0.004672	 0.000058	 0.000249	 0.043792
 0.3730	-0.001512	 0.008427	 0.000063	 0.000227	 0.046428
 0.3950	-0.001289	 0.012244	 0.000068	 0.000188	 0.046858
 0.4171	-0.000985	 0.015901	 0.000071	 0.000123	 0.044894
 0.4391	-0.000607	 0.019139	 0.000073	 0.000025	 0.040602
 0.4589	-0.000214	 0.021490	 0.000072	-0.000089	 0.034862
 0.4785	 0.000215	 0.023123	 0.000069	-0.000228	 0.027371
 0.4983	 0.000668	 0.023793	 0.000063	-0.000388	 0.018513
 0.5180	 0.001121	 0.023265	 0.000054	-0.000562	 0.008760
 0.5377	 0.001553	 0.021343	 0.000042	-0.000742	-0.001484
 0.5578	 0.001938	 0.017806	 0.000025	-0.000918	-0.011791
 0.5779	 0.002238	 0.012637	 0.000006	-0.001070	-0.021402
 0.5980	 0.002421	 0.005864	-0.000017	-0.001180	-0.029881
 0.6181	 0.002456	-0.002290	-0.000040	-0.001228	-0.036778
 0.6382	 0.002321	-0.011425	-0.000064	-0.001194	-0.041727
 0.6573	 0.002022	-0.020636	-0.000085	-0.001074	-0.044593
 0.6763	 0.001549	-0.030004	-0.000103	-0.000857	-0.045719
 0.6955	 0.000902	-0.038892	-0.000117	-0.000545	-0.045127
 0.7145	 0.000105	-0.046477	-0.000123	-0.000158	-0.043049
 0.7336	-0.000816	-0.052005	-0.000122	 0.000307	-0.039880
 0.7527	-0.001812	-0.054539	-0.000111	 0.000831	-0.036222
 0.7717	-0.002818	-0.052988	-0.000091	 0.001349	-0.032949
 0.8000	-0.004141	-0.041509	-0.000044	 0.001985	-0.030426
 0.8187	-0.004764	-0.026389	-0.000004	 0.002342	-0.031166
 0.8375	-0.005048	-0.004365	 0.000043	 0.002725	-0.035596
 0.8562	-0.004863	 0.024436	 0.000094	 0.002871	-0.043256
 0.8750	-0.004089	 0.059464	 0.000146	 0.002756	-0.054443
 0.8938	-0.002630	 0.099076	 0.000193	 0.002386	-0.068955
 0.9125	-0.000406	 0.142622	 0.000230	 0.001774	-0.086393
 0.9313	 0.002670	 0.189802	 0.000255	 0.000940	-0.106101
 0.9500	 0.006609	 0.237267	 0.000262	-0.000013	-0.126599
 0.9750	 0.013147	 0.287491	 0.000246	-0.001065	-0.151112
 0.9872	 0.016646	 0.300719	 0.000231	-0.001343	-0.158657
 0.9936	 0.018536	 0.303516	 0.000223	-0.001399	-0.160778
 0.9979	 0.019801	 0.304094	 0.000217	-0.001411	-0.161524
 1.0000	 0.020436	 0.304158	 0.000214	-0.001412	-0.161702


 -------- Mode No.   9  (freq = 0.75328E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0200	 0.000001	 0.000077	-0.000012	-0.001222	 0.000035
 0.0400	 0.000003	 0.000153	-0.000048	-0.002403	 0.000075
 0.0600	 0.000007	 0.000222	-0.000106	-0.003542	 0.000122
 0.0800	 0.000012	 0.000280	-0.000186	-0.004658	 0.000182
 0.1000	 0.000018	 0.000324	-0.000288	-0.005737	 0.000267
 0.1250	 0.000026	 0.000370	-0.000445	-0.006990	 0.000440
 0.1500	 0.000036	 0.000431	-0.000628	-0.007990	 0.000755
 0.1691	 0.000044	 0.000488	-0.000782	-0.008418	 0.001161
 0.1880	 0.000054	 0.000544	-0.000938	-0.008442	 0.001789
 0.2071	 0.000064	 0.000583	-0.001091	-0.007957	 0.002817
 0.2261	 0.000075	 0.000601	-0.001230	-0.006907	 0.004419
 0.2451	 0.000087	 0.000611	-0.001345	-0.005415	 0.006428
 0.2661	 0.000099	 0.000620	-0.001435	-0.003326	 0.009204
 0.2870	 0.000112	 0.000616	-0.001477	-0.000789	 0.012898
 0.3080	 0.000124	 0.000603	-0.001465	 0.001950	 0.016614
 0.3288	 0.000136	 0.000580	-0.001397	 0.004751	 0.020214
 0.3509	 0.000149	 0.000537	-0.001262	 0.007729	 0.023820
 0.3730	 0.000159	 0.000467	-0.001065	 0.010587	 0.027036
 0.3950	 0.000168	 0.000364	-0.000808	 0.013164	 0.029683
 0.4171	 0.000175	 0.000218	-0.000501	 0.015343	 0.031607
 0.4391	 0.000177	 0.000026	-0.000152	 0.016998	 0.032657
 0.4589	 0.000176	-0.000188	 0.000185	 0.017887	 0.032795
 0.4785	 0.000170	-0.000442	 0.000531	 0.018077	 0.032092
 0.4983	 0.000158	-0.000731	 0.000874	 0.017429	 0.030469
 0.5180	 0.000141	-0.001039	 0.001194	 0.015827	 0.027873
 0.5377	 0.000118	-0.001354	 0.001474	 0.013160	 0.024226
 0.5578	 0.000089	-0.001657	 0.001695	 0.009291	 0.019417
 0.5779	 0.000054	-0.001915	 0.001829	 0.004250	 0.013487
 0.5980	 0.000014	-0.002100	 0.001851	-0.001927	 0.006382
 0.6181	-0.000028	-0.002181	 0.001743	-0.009054	-0.001848
 0.6382	-0.000071	-0.002136	 0.001490	-0.016650	-0.010966
 0.6573	-0.000109	-0.001961	 0.001114	-0.023616	-0.020509
 0.6763	-0.000142	-0.001645	 0.000614	-0.029832	-0.031211
 0.6955	-0.000169	-0.001184	 0.000010	-0.034527	-0.042746
 0.7145	-0.000186	-0.000595	-0.000659	-0.037007	-0.054745
 0.7336	-0.000190	 0.000094	-0.001351	-0.037043	-0.067079
 0.7527	-0.000181	 0.000831	-0.002017	-0.034206	-0.079414
 0.7717	-0.000159	 0.001511	-0.002603	-0.028420	-0.090930
 0.8000	-0.000107	 0.002170	-0.003205	-0.014710	-0.105666
 0.8187	-0.000066	 0.002278	-0.003345	-0.000619	-0.116353
 0.8375	-0.000025	 0.002109	-0.003169	 0.019684	-0.130682
 0.8562	 0.000008	 0.001457	-0.002604	 0.041773	-0.143460
 0.8750	 0.000024	 0.000274	-0.001625	 0.064475	-0.154639
 0.8938	 0.000014	-0.001405	-0.000241	 0.086279	-0.163995
 0.9125	-0.000032	-0.003560	 0.001527	 0.106375	-0.171534
 0.9313	-0.000123	-0.006172	 0.003652	 0.124134	-0.177346
 0.9500	-0.000264	-0.009022	 0.006061	 0.138363	-0.181498
 0.9750	-0.000532	-0.012224	 0.009612	 0.149941	-0.184784
 0.9872	-0.000683	-0.013122	 0.011401	 0.151966	-0.185420
 0.9936	-0.000765	-0.013322	 0.012352	 0.152298	-0.185542
 0.9979	-0.000821	-0.013365	 0.012986	 0.152366	-0.185566
 1.0000	-0.000849	-0.013370	 0.013304	 0.152374	-0.185566


 -------- Mode No.  10  (freq = 0.76423E+01 Hz)

span_loc	flap disp	flap slope	lag disp	lag slope	twist

 0.0000	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000
 0.0200	-0.000001	-0.000099	 0.000000	-0.000040	-0.000021
 0.0400	-0.000004	-0.000195	-0.000002	-0.000079	-0.000045
 0.0600	-0.000009	-0.000291	-0.000004	-0.000117	-0.000073
 0.0800	-0.000015	-0.000392	-0.000006	-0.000156	-0.000110
 0.1000	-0.000024	-0.000500	-0.000010	-0.000195	-0.000163
 0.1250	-0.000038	-0.000642	-0.000015	-0.000244	-0.000272
 0.1500	-0.000055	-0.000767	-0.000021	-0.000282	-0.000480
 0.1691	-0.000070	-0.000832	-0.000027	-0.000299	-0.000760
 0.1880	-0.000086	-0.000864	-0.000032	-0.000300	-0.001211
 0.2071	-0.000102	-0.000861	-0.000038	-0.000284	-0.001981
 0.2261	-0.000118	-0.000821	-0.000043	-0.000250	-0.003236
 0.2451	-0.000132	-0.000745	-0.000047	-0.000201	-0.004884
 0.2661	-0.000146	-0.000623	-0.000051	-0.000132	-0.007285
 0.2870	-0.000158	-0.000467	-0.000052	-0.000047	-0.010666
 0.3080	-0.000165	-0.000292	-0.000052	 0.000044	-0.014276
 0.3288	-0.000169	-0.000106	-0.000051	 0.000137	-0.018005
 0.3509	-0.000169	 0.000094	-0.000047	 0.000236	-0.022018
 0.3730	-0.000165	 0.000287	-0.000040	 0.000331	-0.025907
 0.3950	-0.000157	 0.000463	-0.000032	 0.000416	-0.029447
 0.4171	-0.000146	 0.000612	-0.000023	 0.000489	-0.032410
 0.4391	-0.000131	 0.000726	-0.000011	 0.000544	-0.034537
 0.4589	-0.000116	 0.000798	-0.000001	 0.000575	-0.035608
 0.4785	-0.000101	 0.000840	 0.000011	 0.000583	-0.035754
 0.4983	-0.000084	 0.000853	 0.000022	 0.000566	-0.034809
 0.5180	-0.000068	 0.000838	 0.000032	 0.000518	-0.032651
 0.5377	-0.000052	 0.000801	 0.000041	 0.000438	-0.029155
 0.5578	-0.000037	 0.000748	 0.000049	 0.000321	-0.024171
 0.5779	-0.000023	 0.000690	 0.000054	 0.000167	-0.017734
 0.5980	-0.000010	 0.000635	 0.000055	-0.000023	-0.009803
 0.6181	 0.000002	 0.000592	 0.000052	-0.000243	-0.000479
 0.6382	 0.000013	 0.000570	 0.000045	-0.000479	 0.009911
 0.6573	 0.000024	 0.000572	 0.000034	-0.000697	 0.020781
 0.6763	 0.000035	 0.000600	 0.000019	-0.000895	 0.032911
 0.6955	 0.000047	 0.000658	 0.000001	-0.001047	 0.045878
 0.7145	 0.000060	 0.000744	-0.000019	-0.001133	 0.059225
 0.7336	 0.000074	 0.000857	-0.000041	-0.001146	 0.072781
 0.7527	 0.000092	 0.000991	-0.000061	-0.001073	 0.086185
 0.7717	 0.000111	 0.001132	-0.000080	-0.000910	 0.098579
 0.8000	 0.000145	 0.001311	-0.000100	-0.000513	 0.114356
 0.8187	 0.000170	 0.001373	-0.000105	-0.000098	 0.125853
 0.8375	 0.000195	 0.001365	-0.000102	 0.000507	 0.141452
 0.8562	 0.000219	 0.001273	-0.000086	 0.001169	 0.155616
 0.8750	 0.000241	 0.001092	-0.000058	 0.001853	 0.168354
 0.8938	 0.000259	 0.000831	-0.000018	 0.002515	 0.179441
 0.9125	 0.000271	 0.000502	 0.000034	 0.003127	 0.188870
 0.9313	 0.000276	 0.000121	 0.000096	 0.003671	 0.196691
 0.9500	 0.000275	-0.000260	 0.000168	 0.004108	 0.202847
 0.9750	 0.000263	-0.000618	 0.000273	 0.004464	 0.208453
 0.9872	 0.000255	-0.000676	 0.000327	 0.004526	 0.209777
 0.9936	 0.000251	-0.000678	 0.000355	 0.004536	 0.210088
 0.9979	 0.000248	-0.000676	 0.000374	 0.004538	 0.210176
 1.0000	 0.000246	-0.000675	 0.000383	 0.004538	 0.210191
=================================================================================
